title_normalized,company,rating,pay_percentile50,skill,years_of_experience,size,sector,industry,company_type,revenue,yearFounded,date_posted,doctoral,master,bachelor,associate,highschool_ged,years_since_founded,at_heartquartes
Senior Machine Learning Engineer,"Amazon.com, Inc.",3.8,122300,"['TensorFlow', 'Performance tuning', 'Military', 'Spark', 'NoSQL', 'Java', 'SQL', 'AWS', 'Machine learning', 'JavaScript', 'Distributed systems', 'Scalability', 'Kafka', 'Redshift', 'Communication skills', 'Python', 'Hadoop']",3,7,Information Technology,Internet,Company - Public,$10+ billion (USD),1994,"Feb 10, 2021",1,1,1,0,0,28,0
Data Engineer,Deloitte ,4,77325,"['Relational databases', 'NoSQL', 'MongoDB', 'Databases', 'SQL', 'AWS', 'Machine learning', 'PostgreSQL', 'JSON', 'Data collection']",5,7,Accounting & Legal,Accounting,Company - Private,$10+ billion (USD),1850,"Jan 07, 2022",0,0,1,0,0,172,0
Statistician,Mathematica Policy Research,3.8,120000,"['SAS', 'R', 'Stata', 'Machine learning', 'Natural language processing', 'Documentation review', 'Communication skills', 'Python', 'Analytics']",0,5,Business Services,Consulting,Company - Private,$100 to $500 million (USD),1986,"Feb 03, 2022",1,0,0,0,0,36,0
Senior Data Scientist,Kemper Corporation,4,70789,"['TensorFlow', 'Relational databases', 'Spark', 'Git', 'Java', 'Databases', 'Customer segmentation', 'AWS', 'C++', 'Scala', 'Natural language processing', 'Software development', 'Fraud', 'Communication skills', 'Python']",2,6,Insurance,Insurance Carriers,Company - Public,$25 to $50 million (USD),1990,"Jan 05, 2022",0,0,0,0,0,32,0
Data Engineer,International Business Machines Corporation,4,81873,"['Microsoft Excel', 'Oracle', 'SAS', 'Data analysis skills', 'Research', 'Tableau', 'SQL', 'Machine learning', 'SPSS', 'Python']",5,7,Information Technology,IT Services,Company - Public,$10+ billion (USD),1911,"Feb 10, 2022",0,0,1,1,0,111,0
Senior Data Scientist,CFD Research Corporation,4,101508,"['TensorFlow', 'Statistics', 'MATLAB', 'Machine learning', 'Regression analysis', 'AI', 'Python']",0,2,Aerospace & Defense,Aerospace & Defense,Company - Private,$10 to $25 million (USD),1986,"Dec 21, 2021",0,1,1,0,0,36,1
Simulation Engineer,Booz Allen Hamilton Inc.,4.2,83433,"['Computer literacy', 'Tableau', 'Java', 'Analysis skills', 'Docker', 'Machine learning', 'JavaScript', 'Splunk', 'Computer networking', 'Software development', 'Software testing', 'Fraud', 'Linux', 'Python', 'Analytics']",3,7,Business Services,Consulting,Company - Public,$5 to $10 billion (USD),1914,"Jan 25, 2022",0,1,1,0,0,108,0
Senior Data Analyst,"Ryder System, Inc.",3.7,77165,"['Power BI', 'Azure', 'Alteryx', 'Microsoft SQL Server', 'Tableau', '.NET', 'SQL', 'SSIS', 'Communication skills', 'Python']",2,7,Transportation & Logistics,Transportation Management,Company - Public,$5 to $10 billion (USD),1933,"Jan 24, 2022",0,1,1,0,0,89,0
Senior Data Analyst,Shipt,4,84051,"['Business intelligence', 'R', 'Data analysis skills', 'Tableau', 'SQL', 'PostgreSQL', 'Scripting', 'B2B', 'Google Analytics', 'Python', 'Adobe Analytics']",5,5,Consumer Services,Consumer Product Rental,Subsidiary or Business Segment,Unknown / Non-Applicable,2014,"Sep 20, 2021",0,0,1,0,0,8,1
Senior Data Scientist,PwC,3.9,85919,"['Microsoft Powerpoint', 'Microsoft Word', 'Power BI', 'Microsoft Excel', 'Data mining', 'R', 'QlikView', 'Tableau', 'Java', 'SQL', 'C++', 'Machine learning', 'Natural language processing', 'Regression analysis', 'Data science', 'Research & development', 'Python']",3,7,Business Services,Consulting,Company - Private,$5 to $10 billion (USD),1998,"Nov 10, 2021",0,0,1,0,0,24,0
Machine Learning Engineer,Archarithms,3.7,104214,"['TensorFlow', 'Node.js', 'Software deployment', 'Java', 'C++', 'Supervising experience', 'Product development', 'JavaScript', 'APIs', 'Agile', 'AI', 'GitLab', 'Python']",10,2,Aerospace & Defense,Aerospace & Defense,Company - Private,$1 to $5 million (USD),2012,"Oct 04, 2021",0,0,1,0,0,10,1
Principal Data Scientist,"Science Applications International Corporation, Inc.",4.1,110826,"['Oracle', 'XML', 'Database development', 'Relational databases', 'Big data', 'Microsoft SQL Server', 'Visio', 'Windows', 'Tableau', 'SQL', 'Agile', 'Linux', 'HTML5']",9,7,Aerospace & Defense,Aerospace & Defense,Company - Public,$5 to $10 million (USD),1969,"Jan 03, 2022",0,0,1,1,0,53,0
Machine Learning Engineer,Torch Technologies,4.6,116970,['AI'],11,5,Aerospace & Defense,Aerospace & Defense,Company - Private,$500 million to $1 billion (USD),2002,"Aug 30, 2021",0,1,1,0,0,20,1
Analyst,Pearson plc,3.7,51331,"['Live chat', 'Salesforce', 'Machine learning', 'Product management', 'Natural language processing', 'Experimental design', 'Customer support', 'AI']",1,7,Media,Publishing,Company - Public,$5 to $10 billion (USD),1844,"Jan 19, 2022",0,1,1,0,0,178,0
Machine Learning Engineer,Pearson plc,3.7,78280,"['TensorFlow', 'Statistics', 'Kubernetes', 'Spark', 'Google Cloud Platform', 'Java', 'SQL', 'AWS', 'C++', 'C', 'Machine learning', 'Scala', 'Cloud computing', 'Linux', 'Python']",2,7,Media,Publishing,Company - Public,$5 to $10 billion (USD),1844,"Nov 05, 2021",0,1,1,0,0,178,0
Database Architect,Soaren Management ,4.4,132680,"['TensorFlow', 'Power BI', 'Data modeling', 'Big data', 'Spark', 'NoSQL', 'Apache Hive', 'Java', 'AWS', 'Machine learning', 'S3', 'Kafka', 'Redshift', 'AI', 'Data warehouse', 'Python']",10,2,Finance,Lending,Company - Private,Unknown / Non-Applicable,2015,"Feb 09, 2022",0,1,1,0,0,7,0
Data Scientist,Desert Financial Federal Credit Union,4.1,101804,"['Data mining', 'Project planning', 'Statistical analysis', 'Machine learning', 'Forecasting', 'Predictive analytics', 'Financial services', 'Data science']",7,5,Finance,Banks & Credit Unions,Nonprofit Organization,$50 to $100 million (USD),1939,"Jan 18, 2022",0,1,1,0,0,83,1
Senior Data Scientist,Cardone Ventures,4.7,115000,"['CI/CD', 'Azure', 'Relational databases', 'DevOps', 'C#', 'Spark', 'Google Cloud Platform', 'Java', 'SQL', 'AWS', 'Scala', 'Jenkins', 'Python']",0,2,Business Services,Consulting,Unknown,$25 to $50 million (USD),2019,"Feb 08, 2022",0,1,1,0,0,3,0
Principal Data Scientist,Northrop Grumman Corporation,4,120500,"['Jira', 'R', 'Microsoft SQL Server', 'Tableau', 'Java', 'SQL', 'AWS', 'Cloud development', 'APIs', 'Agile', 'Jenkins', 'Python']",5,7,Aerospace & Defense,Aerospace & Defense,Company - Public,$10+ billion (USD),1939,"Jan 28, 2022",1,1,1,0,0,83,0
Data Scientist,"Sprouts Farmers Market, LLC",3.1,93215,"['Microsoft Powerpoint', 'Microsoft Word', 'Power BI', 'Microsoft Excel', 'Microsoft Access', 'Microsoft Outlook', 'Business intelligence', 'XML', 'Microsoft Office', 'Tableau', 'Databases', 'SQL', 'Analysis skills', 'Machine learning', 'JSON', 'Quantitative analysis', 'Communication skills', 'Python', 'Master data management']",2,7,Retail,Food & Beverage Stores,Company - Public,$2 to $5 billion (USD),2002,"Sep 30, 2021",0,0,1,0,0,20,1
Data Scientist,OneAZ Credit Union,3.9,91340,"['Power BI', 'Visual Basic', 'Word processing', 'R', 'Microsoft SQL Server', 'SSRS', 'Tableau', 'SQL', 'C++', 'Machine learning', 'Data analytics', 'Corporate finance', 'Regression analysis', 'IT', 'Data science', 'SSIS', 'AI', 'Python']",3,3,Finance,Banks & Credit Unions,Nonprofit Organization,$10 to $25 million (USD),1951,"Jan 03, 2022",0,1,1,0,0,71,1
Data Scientist,Cyient,3.4,89227,"['Statistics', 'Signal processing', 'SAS', 'Computer vision', 'R', 'Tableau', 'Machine learning', 'Data analytics', 'Quantitative analysis', 'SPSS', 'Python']",0,7,Information Technology,IT Services,Company - Public,$100 to $500 million (USD),1991,"Apr 19, 2021",1,1,0,0,0,31,0
Data Scientist,General Motors Corporation,4,76626,"['TensorFlow', 'Azure', 'Oracle', 'Kubernetes', 'Relational databases', 'DevOps', 'Spark', 'R', 'SQL', 'Database management', 'Docker', 'Machine learning', 'PostgreSQL', 'Scala', 'Agile', 'Python']",3,7,Manufacturing,Transportation Equipment Manufacturing,Company - Public,$10+ billion (USD),1908,"Feb 14, 2022",0,0,1,0,0,114,0
Senior Data Analyst,Upgrade,3.8,74142,"['Microsoft Powerpoint', 'Microsoft Excel', 'Data mining', 'Microsoft Office', 'SQL', 'Database design', 'Analysis skills', 'Data analytics', 'APIs', 'Predictive analytics', 'Financial services', 'Data collection', 'Communication skills']",2,3,Finance,Lending,Company - Private,Less than $1 million (USD),2016,"Jun 02, 2021",1,1,1,0,0,6,0
Senior Data Scientist,The Boeing Company,3.8,178000,"['Azure', 'Writing skills', 'R', 'Google Cloud Platform', 'Tableau', 'SQL', 'Statistical analysis', 'Database management', 'Presentation skills', 'Machine learning', 'Teradata', 'Python', 'Analytics']",3,7,Aerospace & Defense,Aerospace & Defense,Company - Public,$10+ billion (USD),1916,"Feb 13, 2022",1,1,1,0,0,106,0
Senior Data Scientist,Varsity Tutors,3.9,96359,"['R', 'Machine learning', 'Natural language processing', 'Communication skills', 'Python']",3,3,Information Technology,Internet,Company - Private,Unknown / Non-Applicable,2007,"Apr 15, 2021",1,1,0,0,0,15,0
Data Scientist,Northrop Grumman Corporation,4,89200,"['Jira', 'R', 'Microsoft SQL Server', 'Tableau', 'Java', 'SQL', 'AWS', 'Cloud development', 'APIs', 'Agile', 'Jenkins', 'Python']",2,7,Aerospace & Defense,Aerospace & Defense,Company - Public,$10+ billion (USD),1939,"Dec 14, 2021",0,1,1,0,0,83,0
Senior Data Scientist,The Allstate Corporation,3.5,105940,"['TensorFlow', 'Machine learning', 'Natural language processing']",0,7,Insurance,Insurance Agencies & Brokerages,Company - Public,$10+ billion (USD),1931,"Feb 07, 2022",0,0,0,0,0,91,0
Lead Data Scientist,"Automatic Data Processing, Inc.",4,107264,"['Pricing', 'R', 'Data analysis skills', 'ADP', 'Tableau', 'SQL', 'Machine learning', 'Natural language processing', 'Regression analysis', 'Clustering', 'AI', 'Communication skills', 'Python', 'Hadoop']",3,7,Business Services,Consulting,Company - Public,$10+ billion (USD),1949,"Jan 27, 2022",0,0,0,0,0,73,0
Analyst,UnitedHealth Group Incorporated,3.6,54899,"['Microsoft Excel', 'Data mining', 'Medicare', 'Military', 'Contracts']",1,7,Health Care,Health Care Services & Hospitals,Company - Public,$10+ billion (USD),1977,"Feb 13, 2022",0,0,1,0,0,45,0
Data Scientist,"PayPal, Inc.",4.1,125240,"['Data structures', 'R', 'Data analysis skills', 'Apache Hive', 'Research', 'SQL', 'Analysis skills', 'Machine learning', 'Risk management', 'Fraud', 'Communication skills', 'Data warehouse', 'Python', 'Time management', 'Hadoop']",0,7,Information Technology,Internet,Company - Public,$10+ billion (USD),1998,"Feb 09, 2022",0,0,1,0,0,24,0
Senior Data Scientist,Chase,3.7,89039,[],0,0,Finance,Banks & Credit Unions,Company - Public,Unknown / Non-Applicable,1799,"Feb 13, 2022",0,0,0,0,0,223,0
Junior Data Scientist,Deloitte ,4,81864,"['Statistical analysis', 'Machine learning', 'Data collection', 'AI', 'Communication skills', 'Python']",2,7,Accounting & Legal,Accounting,Company - Private,$10+ billion (USD),1850,"Jan 26, 2022",0,1,1,0,0,172,0
Data Scientist,Roche Holding Ltd,4.2,95873,"['R', 'English', 'Tableau', 'SQL', 'AWS', 'Machine learning', 'APIs', 'S3', 'Manufacturing', 'Redshift', 'AI', 'Leadership', 'Communication skills', 'Python', 'Analytics']",5,6,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Company - Public,$10+ billion (USD),1896,"Feb 07, 2022",0,1,1,0,0,126,0
Data Scientist,"ViaSat, Inc.",4.1,91043,"['MATLAB', 'R', 'Machine learning', 'Distributed systems', 'Software development', 'Predictive analytics', 'Python']",1,6,Telecommunications,Telecommunications Services,Company - Public,$1 to $2 billion (USD),1986,"Feb 03, 2022",0,0,1,0,0,36,0
Data Scientist,"Amazon.com, Inc.",3.8,91257,"['Data mining', 'R', 'SQL', 'AWS', 'Machine learning', 'Algorithm design', 'Scripting', 'Data analytics', 'S3', 'Data science', 'Redshift', 'Python']",3,7,Information Technology,Internet,Company - Public,$10+ billion (USD),1994,"Feb 11, 2022",0,1,1,0,0,28,0
Data Consultant,BlueOptima,3.9,92250,"['Jira', 'Power BI', 'Microsoft Excel', 'R', 'Tableau', 'SQL', 'Project management', 'Software development', 'GitHub', 'Agile', 'TFS', 'Python', 'Analytics', 'SDLC']",0,2,Information Technology,Enterprise Software & Network Solutions,Company - Private,Unknown / Non-Applicable,2006,"Feb 15, 2022",0,0,0,0,0,16,0
Data Scientist,Intel Corporation,4.2,87168,"['Power BI', 'Microsoft Excel', 'Azure', 'Data mining', 'Business intelligence', 'Visual Studio', 'Supply chain', 'SQL', 'Project management', 'Machine learning', 'Supply chain management', 'Perl', 'SharePoint', 'Agile', 'Lean Six Sigma', 'Communication skills', 'Python', 'Analytics']",3,7,Information Technology,Computer Hardware & Software,Company - Public,$10+ billion (USD),1968,"Feb 13, 2022",0,1,0,0,0,54,0
Data Scientist,General Dynamics Mission Systems,3.8,103392,"['Microsoft Powerpoint', 'TensorFlow', 'MATLAB', 'Data mining', 'DevOps', 'Git', 'Research', 'Docker', 'Machine learning', 'Deep learning', 'Natural language processing', 'Scripting', 'Predictive analytics', 'Linux', 'Communication skills', 'Python', 'Shell Scripting']",5,7,Aerospace & Defense,Aerospace & Defense,Subsidiary or Business Segment,$2 to $5 billion (USD),1952,"Jan 28, 2022",0,1,1,0,0,70,0
Senior Data Analyst,Carvana,3.5,83387,"['Microsoft Excel', 'Microsoft SQL Server', 'SSRS', 'English', 'Tableau', 'SQL', 'Analysis skills', 'Python', 'Workday', 'Analytics']",2,6,Retail,Other Retail Stores,Company - Public,Unknown / Non-Applicable,2013,"Nov 17, 2021",0,0,1,0,0,9,1
Senior Data Analyst,Intuit Inc.,4.5,92919,,0,6,Information Technology,Computer Hardware & Software,Company - Public,$5 to $10 billion (USD),1983,"Feb 15, 2022",0,0,0,0,0,39,0
Data Scientist,Arizona State University,4.3,68300,"['Data analysis skills', 'English', 'Data management', 'Quantitative analysis']",1,7,Education,Colleges & Universities,College / University,$1 to $2 billion (USD),1885,"Feb 08, 2022",0,0,1,0,0,137,1
Data Scientist,LeadPoint,3.4,82387,"['Microsoft Office', 'Analysis skills', 'Organizational skills', 'Communication skills']",3,2,Information Technology,Internet,Company - Private,$10 to $25 million (USD),2004,"Nov 03, 2021",0,0,1,0,0,18,0
Data Scientist,"Circle K, Inc.",3.2,84740,"['Power BI', 'Data mining', 'Spark', 'R', 'English', 'Tableau', 'SQL', 'Analysis skills', 'Machine learning', 'Forecasting', 'Regression analysis', 'Data visualization', 'Python', 'Analytics']",1,7,Retail,Gas Stations,Company - Public,$10+ billion (USD),1951,"Jan 13, 2022",0,1,1,0,0,71,0
Data Scientist,"VMware, Inc.",4.3,74561,"['R', 'Analysis skills', 'Machine learning', 'Natural language processing', 'Agile', 'VMWare', 'Communication skills', 'Python', 'Analytics']",3,7,Information Technology,Computer Hardware & Software,Company - Public,$5 to $10 billion (USD),1998,"Nov 08, 2021",0,0,0,0,0,24,0
Senior Data Scientist,Comcentric Inc.,4.6,151000,"['Big data', 'Spark', 'R', 'MongoDB', 'Java', 'SQL', 'C++', 'Machine learning', 'Scala', 'Deep learning', 'Apache Pig', 'Natural language processing', 'Data collection', 'AI', 'Python', 'Hadoop']",5,2,Information Technology,IT Services,Company - Private,$10 to $25 million (USD),2003,"Feb 16, 2022",0,0,0,0,0,19,0
Data Scientist II,"Republic Services, Inc.",3.6,52802,"['Statistical software', 'Statistics', 'Data mining', 'SAS', 'R', 'Microsoft SQL Server', 'Databases', 'SQL', 'Machine learning', 'Regression analysis', 'Data science', 'Python']",2,7,"Oil, Gas, Energy & Utilities",Energy,Company - Public,$5 to $10 billion (USD),1998,"Nov 30, 2021",0,1,1,0,0,24,1
Data Scientist,"Early Warning Services, LLC.",3.1,104846,"['R', 'Java', 'SQL', 'C++', 'C', 'Machine learning', 'Data visualization', 'AI', 'Python']",4,4,Finance,Banks & Credit Unions,Company - Private,$100 to $500 million (USD),1991,"Feb 03, 2022",1,1,1,0,0,31,1
Data Scientist,Realty One Group,4.7,88969,"['Power BI', 'Data mining', 'R', 'SQL', 'Machine learning', 'Forecasting', 'APIs', 'Regression analysis', 'SPSS', 'Communication skills', 'Python']",1,1,Real Estate,Real Estate,Company - Private,$10 to $25 million (USD),2005,"Jan 06, 2022",0,1,1,0,0,17,0
Data Scientist,U-Haul International,3.5,66730,"['ArcGIS', 'Power BI', 'Business intelligence', 'Writing skills', 'R', 'Research', 'Tableau', 'SQL', 'Sentiment analytics', 'Machine learning', 'Regression analysis', 'Python']",3,7,Transportation & Logistics,Truck Rental & Leasing,Company - Public,$10+ billion (USD),1945,"Feb 02, 2022",0,1,0,0,0,77,0
Senior Data Scientist,"Shutterfly, Inc.",3.5,103117,"['TensorFlow', 'Azure', 'Computer vision', 'SQL', 'AWS', 'Machine learning', 'Deep learning', 'Natural language processing', 'GitHub', 'Python', 'Hadoop']",8,7,Information Technology,Internet,Company - Private,$2 to $5 billion (USD),1999,"Feb 14, 2022",1,1,0,0,0,23,0
Data Scientist,"Liveops, Inc.",3.8,95649,"['SAS', 'Salesforce', 'R', 'Microsoft SQL Server', 'Tableau', 'SQL', 'Machine learning', 'Regression analysis', 'Data science', 'SPSS', 'Communication skills', 'Python']",2,3,Business Services,Staffing & Outsourcing,Company - Private,$100 to $500 million (USD),2000,"Dec 16, 2021",0,0,1,0,0,22,1
Data Scientist,Deloitte ,4,92100,"['TensorFlow', 'Azure', 'Big data', 'Google Cloud Platform', 'AWS', 'Machine learning', 'Product management', 'Deep learning', 'Financial services', 'Data science', 'AI', 'Communication skills', 'Python', 'Marketing', 'SDLC']",2,7,Accounting & Legal,Accounting,Company - Private,$10+ billion (USD),1850,"Dec 16, 2021",0,0,1,0,0,172,0
Data Analyst,"Blue Cross Blue Shield of Arizona, Inc.",3.6,75515,"['Microsoft Word', 'Benefits administration', 'Data mining', 'SAS', 'Word processing', 'Writing skills', 'Data analysis skills', 'Tableau', 'SQL', 'Data management', 'Forecasting', 'Data visualization', 'Leadership', 'Analytics']",1,5,Insurance,Insurance Carriers,Nonprofit Organization,Unknown / Non-Applicable,1939,"Jul 28, 2021",0,1,1,0,0,83,1
Data Scientist,Brigham Young University,4.6,94981,"['Microsoft Excel', 'Data mining', 'SQL', 'Portfolio management', 'Data visualization', 'Credit analysis']",5,5,Education,Colleges & Universities,College / University,$100 to $500 million (USD),1875,"Nov 18, 2021",0,0,1,0,0,147,0
Materials Scientist,"Amazon.com, Inc.",3.8,105849,"['Java', 'Analysis skills', 'C++', 'Machine learning', 'Product management', 'Communication skills', 'Python']",0,7,Information Technology,Internet,Company - Public,$10+ billion (USD),1994,"Oct 20, 2021",0,1,0,0,0,28,0
